Rank,Model ID,QR Path,Cosine Similarity,Similarity Percentage,Category
1,Office chair,C:\Users\kvika\Desktop\MTP\Prompt_to_QR\QR_similarity\all_qr\Office chair.png,0.554859,55.49,Low
2,Executive+Office+Chair,C:\Users\kvika\Desktop\MTP\Prompt_to_QR\QR_similarity\all_qr\Executive+Office+Chair.png,0.156769,15.68,Very Low
3,Airport_Chairs,C:\Users\kvika\Desktop\MTP\Prompt_to_QR\QR_similarity\all_qr\Airport_Chairs.png,0.055888,5.59,Very Low
4,Gaming chair,C:\Users\kvika\Desktop\MTP\Prompt_to_QR\QR_similarity\all_qr\Gaming chair.png,0.006003,0.6,Very Low
5,Waiting+Char,C:\Users\kvika\Desktop\MTP\Prompt_to_QR\QR_similarity\all_qr\Waiting+Char.png,-0.012262,-1.23,Very Low
6,Chair4,C:\Users\kvika\Desktop\MTP\Prompt_to_QR\QR_similarity\all_qr\Chair4.png,-0.015457,-1.55,Very Low
7,airport,C:\Users\kvika\Desktop\MTP\Prompt_to_QR\QR_similarity\all_qr\airport.png,-0.033625,-3.36,Very Low
8,Modern Chair of mine1,C:\Users\kvika\Desktop\MTP\Prompt_to_QR\QR_similarity\all_qr\Modern Chair of mine1.png,-0.103296,-10.33,Very Low
